feature,importance
p1_spe_p25,0.006111084
tl_p2_move_type_ghost_count,0.006086156
p1_base_hp_sum,0.0060679074
p2_lead_base_spe,0.006063435
p1_base_hp_std,0.0060554226
p1_base_spa_sum,0.005936551
tl_p1_move_type_grass_count,0.0059360377
tl_p2_move_type_water_count,0.005926005
p1_base_spe_min,0.0059004
p1_base_atk_sum,0.0058772755
tl_p1_damage_first2,0.0058536064
p1_base_def_mean,0.0058405576
p1_base_hp_mean,0.005800496
tl_move_type_water_count_diff,0.0057694595
p1_n_unique_types,0.0057553435
lead_diff_base_spd,0.0057023843
tl_p1_move_type_ice_count,0.0056454213
tl_last5_damage_ratio_diff,0.005639643
tl_damage_adv_sign_flips,0.0056365137
lead_diff_base_def,0.005606078
p1_spe_p75,0.0055851145
tl_move_type_ground_count_diff,0.005583407
p1_base_spa_max,0.00549303
tl_p2_damage_first2,0.00548462
p1_super_effective_options,0.005483432
p1_type_entropy,0.0054811714
p1_base_def_std,0.005442729
tl_p1_move_type_ground_count,0.00543903
p1_type_ice_count,0.0054287734
p1_base_spa_mean,0.005421725
speed_advantage,0.005297621
lead_diff_base_atk,0.0052973195
lead_diff_base_spa,0.005211058
p1_base_spe_mean,0.005206904
tl_p2_move_type_rock_count,0.0051891347
tl_p1_move_type_electric_count,0.00517703
p1_base_def_sum,0.005157227
p1_base_atk_std,0.005121412
team_spa_mean_minus_p2spa,0.005117845
tl_move_type_rock_count_diff,0.0051109125
p1_base_spa_std,0.00510446
lead_p1_vs_p2_effectiveness,0.0050929924
p1_base_spe_std,0.005088576
p1_se_options_vs_lead_bulk,0.0050711795
p1_type_flying_count,0.005035835
tl_p2_move_type_grass_count,0.0050296662
team_hp_sum_minus_p2lead_hp,0.004912499
tl_p1_last5_damage_ratio,0.004899266
tl_p2_move_type_ground_count,0.0048579066
tl_move_type_electric_count_diff,0.0047197067
tl_p2_last5_damage_ratio,0.00468079
tl_p2_move_type_electric_count,0.00467813
tl_move_type_grass_count_diff,0.004670844
p1_base_spe_max,0.0045467825
p1_type_electric_count,0.004537745
tl_p1_move_type_rock_count,0.004534566
tl_p1_move_type_flying_count,0.004511534
tl_p2_move_type_normal_count,0.0044041164
tl_move_type_poison_count_diff,0.0044026864
p1_type_grass_count,0.0043501006
tl_comeback_flag,0.004239562
tl_p1_inflicted_tox_count,0.004231258
tl_p2_move_type_flying_count,0.003986133
p1_vs_lead_max_effectiveness,0.003838925
p2_lead_base_spa,0.0038363887
p1_base_spd_min,0.0036431546
p1_base_spa_min,0.0034431652
p1_type_water_count,0.002636187
p2_lead_base_atk,0.0017478372
p1_base_hp_min,0.0011832835
p1_n_unique_names,0.0
p1_type_rock_count,0.0
p1_type_dragon_count,0.0
p1_base_spd_sum,0.0
p1_base_def_min,0.0
p1_base_atk_min,0.0
p1_type_ground_count,0.0
p1_base_spd_mean,0.0
p1_level_mean,0.0
p1_level_sum,0.0
p1_type_fire_count,0.0
tl_p2_inflicted_psn_count,0.0
tl_p1_inflicted_psn_count,0.0
tl_p1_inflicted_brn_count,0.0
tl_p1_comeback_kos,0.0
tl_p2_comeback_kos,0.0
tl_comeback_kos_diff,0.0
tl_p2_inflicted_brn_count,0.0
p2_lead_ability_volt_absorb_count,0.0
p2_lead_ability_drought_count,0.0
p1_ability_drizzle_count,0.0
p1_ability_drought_count,0.0
p1_ability_intimidate_count,0.0
p1_ability_flash_fire_count,0.0
p1_ability_water_absorb_count,0.0
p1_total_immunity_abilities,0.0
p1_total_stat_drop_abilities,0.0
p2_lead_base_spd,0.0
p2_lead_type_fire,0.0
p2_lead_type_normal,0.0
p2_lead_level,0.0
p2_lead_type_grass,0.0
p2_lead_type_electric,0.0
p2_lead_type_flying,0.0
p2_lead_n_unique_types,0.0
p2_lead_type_ground,0.0
p2_lead_ability_intimidate_count,0.0
p2_lead_ability_drizzle_count,0.0
p2_lead_ability_sand_stream_count,0.0
p2_lead_total_stat_drop_abilities,0.0
p2_lead_total_immunity_abilities,0.0
fainted_diff,0.0
p1_intimidate_vs_lead,0.0
p2_lead_ability_flash_fire_count,0.0
p2_lead_ability_levitate_count,0.0
p2_lead_ability_water_absorb_count,0.0
p2_lead_type_rock,0.0
p2_lead_type_dragon,0.0
p2_lead_type_ice,0.0
p1_ability_levitate_count,0.0
p1_ability_volt_absorb_count,0.0
p1_ability_sand_stream_count,0.0
tl_move_type_dragon_count_diff,0.0
tl_p1_move_type_dragon_count,0.0
tl_p2_move_type_dragon_count,0.0
tl_p2_move_type_bug_count,0.0
tl_p1_move_type_bug_count,0.0
tl_move_type_bug_count_diff,0.0
n_unique_types_diff,0.0
