feature,importance
p2_tl_status_ratio,0
p2_tl_physical_moves,0
p2_tl_stab_moves,0
p1_tl_status_ratio,0
p1_tl_offensive_ratio,0
p1_ability_drizzle_count,0
p1_ability_sand_stream_count,0
p1_total_immunity_abilities,0
p1_total_stat_drop_abilities,0
p1_ability_volt_absorb_count,0
p1_ability_levitate_count,0
p2_lead_n_unique_types,0
p2_lead_type_grass,0
p2_lead_type_rock,0
p2_lead_type_dragon,0
p2_lead_type_ice,0
p2_lead_type_ground,0
p1_avg_level_advantage,0
p1_first_blood_turn,0
p1_first_blood,0
p1_n_unique_names,0
p1_type_ground_count,0
p1_type_fire_count,0
p1_level_mean,0
p1_level_sum,0
